answer,ram_before,ram_after,cpu_usage,inference_time
"You may wait to see the truck, but I always wait to see the truck.",465.84375,483.09375,98.102,2.383
"Kites can be hard to see, so I slow down to be sure I don’t miss a child.",467.109375,514.109375,100.0,2.193
"Left turns are easier to see and safer, so I drive to the right.",467.40625,510.90625,100.0,1.975
"Road crews have been using the right lane to clear the lane, but I’m changing lanes to make sure I don’t cross the road.",467.484375,512.984375,100.0,2.115
"The motorcycle is part of the road, so I always turn to make a stop.",467.515625,510.515625,95.62799999999999,2.733
Cyclists can move in the lane to avoid collision.,467.515625,512.015625,98.76800000000001,2.768
Fog makes the roads more of a safe place to stay.,467.625,512.125,100.0,2.102
Police cars can step into the car if they're in the middle of the road or in the middle of the road.,467.640625,511.640625,100.0,2.003
The detour is due to heavy traffic and the road is not to be distracted.,467.6875,515.1875,100.0,2.185
"Dogs can be seen by cars, so I’m watching for them to cross.",467.703125,512.703125,95.88399999999997,2.902
"The tractor is slow to move, so I turn to keep an eye on the other side.",467.703125,512.703125,100.0,2.059
"The crosswalk is safe to go, so I always stay behind.",467.703125,513.203125,100.0,2.094
"The rainstorm can roll over, so I slow down to stay hydrated.",467.71875,512.71875,100.0,2.062
Slow down to see the car and help us turn.,467.71875,511.21875,100.0,1.972
"Water can enter the street and people may not see it, but I’m going to drive through it to keep everyone safe.",467.734375,515.734375,97.71199999999999,2.757
"The main street is blocked, so I turned to a side street to see.",468.0,509.5,98.04800000000002,2.131
The utility worker is allowed to move around and to use the pole to go.,468.0,511.5,100.0,1.969
"The lights start flashing yellow, so I turn around to see if they’re still on the road.",468.0,512.0,100.0,2.0
"Heavy duty bridges can pull heavy loads, so I keep an eye out for extra loads.",468.0,511.0,100.0,1.94
"Pedestrians can be unpredictable and unpredictable, so I yield to make sure I yield.",468.0,512.5,100.0,2.039
"The signs indicate the crossing is closed, so I keep an eye out for a new one.",468.0,510.5,95.31599999999999,2.792
"The windshield wipers will be on high speed, so I stay in the dark.",467.78125,511.28125,100.0,1.975
